frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse
0,000000,36960,l2_scale,0.2486301025720526,0.0,36945,0.25728458166122437,4.243589878082275
1,000003,36755,l2_scale,0.2486301025720526,0.0,36742,0.2676093876361847,4.614410877227783
2,000006,36427,l2_scale,0.2486301025720526,0.0,36410,0.27134859561920166,4.88646936416626
3,000009,36335,l2_scale,0.2486301025720526,0.0,36325,0.25092795491218567,4.417498588562012
4,000012,36747,l2_scale,0.2486301025720526,0.0,36735,0.2834777235984802,4.758500576019287
5,000015,36701,l2_scale,0.2486301025720526,0.0,36690,0.32812637090682983,5.167936325073242
6,000018,36007,l2_scale,0.2486301025720526,0.0,36001,0.30566638708114624,5.640890121459961
7,000021,35782,l2_scale,0.2486301025720526,0.0,35765,0.2539600133895874,5.023707389831543
8,000024,35751,l2_scale,0.2486301025720526,0.0,35741,0.2187969982624054,4.94404935836792
9,000027,36004,l2_scale,0.2486301025720526,0.0,35981,0.21297596395015717,4.52476167678833
10,000030,36403,l2_scale,0.2486301025720526,0.0,36398,0.2294451743364334,6.037298679351807
11,000033,36205,l2_scale,0.2486301025720526,0.0,36193,0.21908418834209442,5.526601791381836
12,000036,36246,l2_scale,0.2486301025720526,0.0,36232,0.23135022819042206,5.872891426086426
13,000039,36334,l2_scale,0.2486301025720526,0.0,36325,0.22550544142723083,5.765374660491943
14,000042,36121,l2_scale,0.2486301025720526,0.0,36118,0.21055401861667633,5.783102989196777
15,000045,36768,l2_scale,0.2486301025720526,0.0,36765,0.21370799839496613,5.756038665771484
16,000048,36640,l2_scale,0.2486301025720526,0.0,36636,0.2185947597026825,5.599893569946289
17,000051,36653,l2_scale,0.2486301025720526,0.0,36649,0.21611739695072174,5.7649335861206055
18,000054,36759,l2_scale,0.2486301025720526,0.0,36755,0.216945618391037,5.652204513549805
19,000057,36648,l2_scale,0.2486301025720526,0.0,36634,0.2090996652841568,5.8183441162109375
20,000060,36802,l2_scale,0.2486301025720526,0.0,36797,0.19938303530216217,5.96648645401001
21,000063,36474,l2_scale,0.2486301025720526,0.0,36473,0.18959473073482513,5.821671009063721
22,000066,36862,l2_scale,0.2486301025720526,0.0,36853,0.18753929436206818,5.837405204772949
23,000069,37147,l2_scale,0.2486301025720526,0.0,37137,0.2008211463689804,6.013078689575195
24,000072,36920,l2_scale,0.2486301025720526,0.0,36914,0.21702665090560913,6.231567859649658
25,000075,36789,l2_scale,0.2486301025720526,0.0,36784,0.2271011918783188,6.186788082122803
26,000078,37325,l2_scale,0.2486301025720526,0.0,37322,0.22373142838478088,6.176802635192871
27,000081,37134,l2_scale,0.2486301025720526,0.0,37130,0.21387675404548645,6.085598945617676
28,000084,37028,l2_scale,0.2486301025720526,0.0,37024,0.22623500227928162,6.083462238311768
29,000087,36628,l2_scale,0.2486301025720526,0.0,36628,0.24515971541404724,6.553378582000732
30,000090,36657,l2_scale,0.2486301025720526,0.0,36654,0.2419896274805069,6.355118751525879
31,000093,36469,l2_scale,0.2486301025720526,0.0,36469,0.23090964555740356,6.2669548988342285
32,000096,36327,l2_scale,0.2486301025720526,0.0,36327,0.20977558195590973,6.668176174163818
33,000099,36526,l2_scale,0.2486301025720526,0.0,36526,0.21518509089946747,6.804632186889648
34,000102,36246,l2_scale,0.2486301025720526,0.0,36243,0.2342408448457718,6.906610012054443
35,000105,36310,l2_scale,0.2486301025720526,0.0,36303,0.25478509068489075,6.849003314971924
36,000108,35887,l2_scale,0.2486301025720526,0.0,35887,0.23904240131378174,6.787380218505859
37,000111,35990,l2_scale,0.2486301025720526,0.0,35990,0.2420068383216858,6.52821683883667
38,000114,35527,l2_scale,0.2486301025720526,0.0,35526,0.24969792366027832,6.3792314529418945
39,000117,35475,l2_scale,0.2486301025720526,0.0,35475,0.25173574686050415,6.491483688354492
40,000120,35280,l2_scale,0.2486301025720526,0.0,35277,0.28479212522506714,6.735805511474609
41,000123,35409,l2_scale,0.2486301025720526,0.0,35402,0.3052618205547333,7.185779094696045
42,000126,35254,l2_scale,0.2486301025720526,0.0,35248,0.3707393705844879,7.276613712310791
43,000129,36030,l2_scale,0.2486301025720526,0.0,36026,0.36743074655532837,6.96051025390625
44,000132,35772,l2_scale,0.2486301025720526,0.0,35768,0.3292238414287567,6.339999675750732
45,000135,36753,l2_scale,0.2486301025720526,0.0,36752,0.3519592881202698,6.575109958648682
46,000138,36585,l2_scale,0.2486301025720526,0.0,36583,0.3528212010860443,6.864871025085449
47,000141,36870,l2_scale,0.2486301025720526,0.0,36870,0.3559719920158386,6.419629096984863
48,000144,36439,l2_scale,0.2486301025720526,0.0,36439,0.3005974590778351,6.486207962036133
49,000147,36278,l2_scale,0.2486301025720526,0.0,36278,0.2919231653213501,6.6460442543029785
50,000150,37367,l2_scale,0.2486301025720526,0.0,37367,0.32218849658966064,6.74915075302124
51,000153,37715,l2_scale,0.2486301025720526,0.0,37715,0.3286224603652954,6.750307559967041
52,000156,37067,l2_scale,0.2486301025720526,0.0,37065,0.2737531363964081,6.707146167755127
53,000159,37705,l2_scale,0.2486301025720526,0.0,37704,0.28392964601516724,6.592125415802002
54,000162,37895,l2_scale,0.2486301025720526,0.0,37894,0.30585166811943054,6.650843620300293
55,000165,37581,l2_scale,0.2486301025720526,0.0,37580,0.33486586809158325,7.115190505981445
56,000168,37372,l2_scale,0.2486301025720526,0.0,37372,0.37231478095054626,7.141168117523193
57,000171,38818,l2_scale,0.2486301025720526,0.0,38818,0.25233879685401917,6.40476655960083
58,000174,39041,l2_scale,0.2486301025720526,0.0,39041,0.2560403645038605,6.290534973144531
59,000177,39132,l2_scale,0.2486301025720526,0.0,39132,0.2821224629878998,6.19819974899292
60,000180,38351,l2_scale,0.2486301025720526,0.0,38349,0.2655883729457855,6.276030540466309
61,000183,38859,l2_scale,0.2486301025720526,0.0,38858,0.31064411997795105,6.346633434295654
62,000186,38789,l2_scale,0.2486301025720526,0.0,38787,0.33720454573631287,6.21043062210083
63,000189,38004,l2_scale,0.2486301025720526,0.0,37998,0.28980642557144165,6.211139678955078
64,000192,37268,l2_scale,0.2486301025720526,0.0,37263,0.2667451500892639,6.058879852294922
65,000195,37443,l2_scale,0.2486301025720526,0.0,37436,0.2971728444099426,6.441925525665283
66,000198,39018,l2_scale,0.2486301025720526,0.0,39012,0.2682293951511383,5.979973316192627
67,000201,38897,l2_scale,0.2486301025720526,0.0,38891,0.2659253180027008,5.480692386627197
68,000204,38638,l2_scale,0.2486301025720526,0.0,38630,0.32227662205696106,5.892486572265625
69,000207,38574,l2_scale,0.2486301025720526,0.0,38568,0.31403684616088867,5.768645763397217
70,000210,38076,l2_scale,0.2486301025720526,0.0,38072,0.29737114906311035,5.38574743270874
71,000213,37814,l2_scale,0.2486301025720526,0.0,37809,0.2977875769138336,5.416184902191162
72,000216,37525,l2_scale,0.2486301025720526,0.0,37520,0.28977447748184204,5.505222320556641
73,000219,38404,l2_scale,0.2486301025720526,0.0,38400,0.30927926301956177,5.5905842781066895
74,000222,38769,l2_scale,0.2486301025720526,0.0,38765,0.3477804362773895,5.355590343475342
75,000225,37941,l2_scale,0.2486301025720526,0.0,37926,0.34826526045799255,5.295032501220703
76,000228,37232,l2_scale,0.2486301025720526,0.0,37227,0.31513044238090515,5.486883640289307
77,000231,37156,l2_scale,0.2486301025720526,0.0,37144,0.45025184750556946,5.893540859222412
78,000234,36711,l2_scale,0.2486301025720526,0.0,36708,0.28130611777305603,5.030718803405762
79,000237,37951,l2_scale,0.2486301025720526,0.0,37945,0.2583719789981842,5.0604753494262695
80,000240,37445,l2_scale,0.2486301025720526,0.0,37445,0.24986404180526733,4.9468231201171875
81,000243,37714,l2_scale,0.2486301025720526,0.0,37714,0.29385122656822205,4.997282981872559
82,000246,38499,l2_scale,0.2486301025720526,0.0,38491,0.343984991312027,5.021848201751709
83,000249,37864,l2_scale,0.2486301025720526,0.0,37860,0.3436139225959778,4.973713397979736
84,000252,37227,l2_scale,0.2486301025720526,0.0,37225,0.38139966130256653,5.325097560882568
85,000255,38276,l2_scale,0.2486301025720526,0.0,38272,0.3817945122718811,5.320323467254639
86,000258,37362,l2_scale,0.2486301025720526,0.0,37362,0.3882354199886322,5.263326168060303
87,000261,36759,l2_scale,0.2486301025720526,0.0,36759,0.31034761667251587,5.149255275726318
88,000264,37237,l2_scale,0.2486301025720526,0.0,37234,0.3359314799308777,5.049911022186279
89,000267,36573,l2_scale,0.2486301025720526,0.0,36573,0.3080441653728485,4.914077281951904
90,000270,36440,l2_scale,0.2486301025720526,0.0,36440,0.365134060382843,5.100765228271484
91,000273,37856,l2_scale,0.2486301025720526,0.0,37850,0.379698246717453,4.7867584228515625
92,000276,36686,l2_scale,0.2486301025720526,0.0,36680,0.4258750081062317,4.926196098327637
93,000279,35083,l2_scale,0.2486301025720526,0.0,35073,0.33001139760017395,4.987940788269043
94,000282,36903,l2_scale,0.2486301025720526,0.0,36890,0.3277827203273773,4.819871425628662
95,000285,37305,l2_scale,0.2486301025720526,0.0,37286,0.37852728366851807,4.815927028656006
96,000288,36380,l2_scale,0.2486301025720526,0.0,36345,0.36615222692489624,4.708392143249512
97,000291,36502,l2_scale,0.2486301025720526,0.0,36470,0.3727821111679077,4.656836986541748
98,000294,37691,l2_scale,0.2486301025720526,0.0,37673,0.37687718868255615,4.300057411193848
99,000297,37370,l2_scale,0.2486301025720526,0.0,37360,0.4139060974121094,4.367956161499023
