frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse
0,000146,36849,l2_scale,0.2143713367535922,0.0,36843,0.310011625289917,6.521095275878906
1,000147,36278,l2_scale,0.2143713367535922,0.0,36276,0.31414660811424255,6.832298755645752
2,000148,36501,l2_scale,0.2143713367535922,0.0,36501,0.3102857172489166,6.936275959014893
3,000149,37204,l2_scale,0.2143713367535922,0.0,37204,0.31410449743270874,6.643517971038818
4,000150,37367,l2_scale,0.2143713367535922,0.0,37367,0.331307977437973,6.629790306091309
5,000151,37441,l2_scale,0.2143713367535922,0.0,37441,0.3184947669506073,6.558704853057861
6,000152,37423,l2_scale,0.2143713367535922,0.0,37423,0.3008454442024231,6.412949562072754
7,000153,37715,l2_scale,0.2143713367535922,0.0,37715,0.3244115114212036,6.620675086975098
8,000154,37782,l2_scale,0.2143713367535922,0.0,37782,0.3309696912765503,6.566692352294922
9,000155,37822,l2_scale,0.2143713367535922,0.0,37822,0.34051331877708435,6.684358596801758
10,000156,37067,l2_scale,0.2143713367535922,0.0,37067,0.26681262254714966,6.283379554748535
11,000157,37405,l2_scale,0.2143713367535922,0.0,37405,0.2737485468387604,6.339249610900879
12,000158,37689,l2_scale,0.2143713367535922,0.0,37689,0.29056283831596375,6.476043701171875
13,000159,37705,l2_scale,0.2143713367535922,0.0,37705,0.30217358469963074,6.513662338256836
14,000160,37722,l2_scale,0.2143713367535922,0.0,37722,0.30335602164268494,6.403770446777344
15,000161,37835,l2_scale,0.2143713367535922,0.0,37835,0.3214578926563263,6.471669673919678
16,000162,37895,l2_scale,0.2143713367535922,0.0,37895,0.3375747501850128,6.730173587799072
17,000163,37831,l2_scale,0.2143713367535922,0.0,37831,0.34417253732681274,6.530692100524902
18,000164,37590,l2_scale,0.2143713367535922,0.0,37590,0.3400312662124634,6.659901142120361
19,000165,37581,l2_scale,0.2143713367535922,0.0,37581,0.36949294805526733,7.009586811065674
20,000166,37575,l2_scale,0.2143713367535922,0.0,37575,0.34654033184051514,6.702741622924805
21,000167,37695,l2_scale,0.2143713367535922,0.0,37695,0.36024707555770874,6.625997066497803
22,000168,37372,l2_scale,0.2143713367535922,0.0,37372,0.3965551555156708,6.8098344802856445
23,000169,37306,l2_scale,0.2143713367535922,0.0,37306,0.27640628814697266,6.50234842300415
24,000170,37949,l2_scale,0.2143713367535922,0.0,37949,0.2686205804347992,6.137836456298828
25,000171,38818,l2_scale,0.2143713367535922,0.0,38818,0.26501551270484924,6.097636699676514
26,000172,38585,l2_scale,0.2143713367535922,0.0,38585,0.26830244064331055,6.2107672691345215
27,000173,38981,l2_scale,0.2143713367535922,0.0,38981,0.27484041452407837,6.214905738830566
28,000174,39041,l2_scale,0.2143713367535922,0.0,39041,0.2689233720302582,6.009438514709473
29,000175,39153,l2_scale,0.2143713367535922,0.0,39153,0.2669314742088318,5.777420997619629
30,000176,39104,l2_scale,0.2143713367535922,0.0,39104,0.2826836407184601,5.922485828399658
31,000177,39132,l2_scale,0.2143713367535922,0.0,39132,0.29400405287742615,5.884593486785889
32,000178,39028,l2_scale,0.2143713367535922,0.0,39028,0.2979128956794739,5.847211837768555
33,000179,38686,l2_scale,0.2143713367535922,0.0,38686,0.2846699357032776,6.032838821411133
34,000180,38351,l2_scale,0.2143713367535922,0.0,38351,0.284377783536911,6.041547775268555
35,000181,38772,l2_scale,0.2143713367535922,0.0,38772,0.3116414546966553,6.428349494934082
36,000182,38860,l2_scale,0.2143713367535922,0.0,38860,0.31243520975112915,6.179778099060059
37,000183,38859,l2_scale,0.2143713367535922,0.0,38859,0.32380983233451843,6.098414421081543
38,000184,38748,l2_scale,0.2143713367535922,0.0,38748,0.3327825963497162,6.083830833435059
39,000185,38989,l2_scale,0.2143713367535922,0.0,38989,0.34731221199035645,6.012951374053955
40,000186,38789,l2_scale,0.2143713367535922,0.0,38789,0.3589297831058502,5.987675189971924
41,000187,38498,l2_scale,0.2143713367535922,0.0,38498,0.35343679785728455,6.01659631729126
42,000188,38146,l2_scale,0.2143713367535922,0.0,38146,0.3378780782222748,6.041074752807617
43,000189,38004,l2_scale,0.2143713367535922,0.0,38004,0.30741655826568604,6.014081954956055
44,000190,37753,l2_scale,0.2143713367535922,0.0,37753,0.2868422567844391,5.907130718231201
45,000191,37543,l2_scale,0.2143713367535922,0.0,37543,0.29474279284477234,6.0187458992004395
46,000192,37268,l2_scale,0.2143713367535922,0.0,37268,0.2933498024940491,5.992253303527832
47,000193,36992,l2_scale,0.2143713367535922,0.0,36992,0.2905777096748352,6.044300079345703
48,000194,37429,l2_scale,0.2143713367535922,0.0,37429,0.30688875913619995,6.152469635009766
49,000195,37443,l2_scale,0.2143713367535922,0.0,37443,0.32052674889564514,6.238154888153076
50,000196,37996,l2_scale,0.2143713367535922,0.0,37996,0.3254174292087555,6.284445285797119
51,000197,38785,l2_scale,0.2143713367535922,0.0,38785,0.3241909146308899,6.099523067474365
52,000198,39018,l2_scale,0.2143713367535922,0.0,39017,0.30234766006469727,5.947573661804199
53,000199,38848,l2_scale,0.2143713367535922,0.0,38848,0.28881287574768066,5.872796058654785
54,000200,38973,l2_scale,0.2143713367535922,0.0,38972,0.29211241006851196,5.703342914581299
55,000201,38897,l2_scale,0.2143713367535922,0.0,38897,0.3054860234260559,5.502017021179199
56,000202,38790,l2_scale,0.2143713367535922,0.0,38790,0.3186390697956085,5.45429801940918
57,000203,38721,l2_scale,0.2143713367535922,0.0,38721,0.3282376229763031,5.644143104553223
58,000204,38638,l2_scale,0.2143713367535922,0.0,38638,0.3503279983997345,5.851374626159668
59,000205,38018,l2_scale,0.2143713367535922,0.0,38018,0.31612715125083923,5.747550964355469
60,000206,38408,l2_scale,0.2143713367535922,0.0,38408,0.3235418498516083,5.724430084228516
61,000207,38574,l2_scale,0.2143713367535922,0.0,38574,0.32660016417503357,5.573887825012207
62,000208,38463,l2_scale,0.2143713367535922,0.0,38463,0.3164747953414917,5.346022129058838
63,000209,38345,l2_scale,0.2143713367535922,0.0,38345,0.32072874903678894,5.278042316436768
64,000210,38076,l2_scale,0.2143713367535922,0.0,38076,0.3160277009010315,5.304775238037109
65,000211,38001,l2_scale,0.2143713367535922,0.0,38001,0.31866252422332764,5.408176898956299
66,000212,37886,l2_scale,0.2143713367535922,0.0,37886,0.31678301095962524,5.320462226867676
67,000213,37814,l2_scale,0.2143713367535922,0.0,37814,0.33036190271377563,5.457412242889404
68,000214,37741,l2_scale,0.2143713367535922,0.0,37741,0.338610976934433,5.659190654754639
69,000215,38026,l2_scale,0.2143713367535922,0.0,38026,0.34995007514953613,5.6749982833862305
70,000216,37525,l2_scale,0.2143713367535922,0.0,37525,0.32107168436050415,5.553128242492676
71,000217,37714,l2_scale,0.2143713367535922,0.0,37714,0.3137701749801636,5.553271293640137
72,000218,38076,l2_scale,0.2143713367535922,0.0,38076,0.31648334860801697,5.496461391448975
73,000219,38404,l2_scale,0.2143713367535922,0.0,38404,0.3359426259994507,5.561223983764648
74,000220,38440,l2_scale,0.2143713367535922,0.0,38440,0.3330455720424652,5.451384544372559
75,000221,38577,l2_scale,0.2143713367535922,0.0,38577,0.3731229603290558,5.4645490646362305
76,000222,38769,l2_scale,0.2143713367535922,0.0,38769,0.38501712679862976,5.335108280181885
77,000223,38748,l2_scale,0.2143713367535922,0.0,38748,0.390215665102005,5.164122581481934
78,000224,38449,l2_scale,0.2143713367535922,0.0,38449,0.41049715876579285,5.127987384796143
79,000225,37941,l2_scale,0.2143713367535922,0.0,37941,0.37780022621154785,5.18612813949585
80,000226,37579,l2_scale,0.2143713367535922,0.0,37579,0.3668327033519745,5.190046787261963
81,000227,37514,l2_scale,0.2143713367535922,0.0,37514,0.3446761667728424,5.073987007141113
82,000228,37232,l2_scale,0.2143713367535922,0.0,37232,0.3337482511997223,5.212845802307129
83,000229,37116,l2_scale,0.2143713367535922,0.0,37116,0.35958635807037354,5.46115255355835
84,000230,37087,l2_scale,0.2143713367535922,0.0,37085,0.4300951361656189,5.704230785369873
85,000231,37156,l2_scale,0.2143713367535922,0.0,37153,0.47830402851104736,5.750194549560547
86,000232,37035,l2_scale,0.2143713367535922,0.0,37035,0.40952372550964355,5.335063457489014
87,000233,36722,l2_scale,0.2143713367535922,0.0,36722,0.34617823362350464,5.201614856719971
88,000234,36711,l2_scale,0.2143713367535922,0.0,36711,0.30837172269821167,4.879227161407471
89,000235,37039,l2_scale,0.2143713367535922,0.0,37039,0.2803919017314911,4.710357666015625
90,000236,37939,l2_scale,0.2143713367535922,0.0,37939,0.27408531308174133,4.693543434143066
91,000237,37951,l2_scale,0.2143713367535922,0.0,37951,0.2685718238353729,4.7690043449401855
92,000238,37520,l2_scale,0.2143713367535922,0.0,37520,0.258362740278244,4.619359016418457
93,000239,37351,l2_scale,0.2143713367535922,0.0,37351,0.24926504492759705,4.566384315490723
94,000240,37445,l2_scale,0.2143713367535922,0.0,37445,0.2724654972553253,4.830327987670898
95,000241,37401,l2_scale,0.2143713367535922,0.0,37401,0.2887037992477417,4.942485809326172
96,000242,37588,l2_scale,0.2143713367535922,0.0,37588,0.3042025566101074,4.872463226318359
97,000243,37714,l2_scale,0.2143713367535922,0.0,37714,0.3189926743507385,4.840235233306885
98,000244,37977,l2_scale,0.2143713367535922,0.0,37977,0.33484283089637756,4.892785549163818
99,000245,38436,l2_scale,0.2143713367535922,0.0,38436,0.35039106011390686,4.754251003265381
