frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse
0,000500,18176,l2_scale,0.2119287186868437,0.0,18176,0.13719972968101501,3.000699758529663
1,000518,18448,l2_scale,0.2119287186868437,0.0,18448,0.13726645708084106,2.7644097805023193
2,000536,18146,l2_scale,0.2119287186868437,0.0,18146,0.11926012486219406,3.2190940380096436
3,000554,18349,l2_scale,0.2119287186868437,0.0,18349,0.11203283071517944,2.8473381996154785
4,000572,18077,l2_scale,0.2119287186868437,0.0,18077,0.11485994607210159,2.8517353534698486
5,000590,18088,l2_scale,0.2119287186868437,0.0,18088,0.12381129711866379,2.9743337631225586
6,000608,18096,l2_scale,0.2119287186868437,0.0,18096,0.1563664972782135,3.227630615234375
7,000626,17998,l2_scale,0.2119287186868437,0.0,17998,0.1720324009656906,3.2455103397369385
8,000644,18042,l2_scale,0.2119287186868437,0.0,18042,0.1781015247106552,3.4490740299224854
9,000662,17967,l2_scale,0.2119287186868437,0.0,17967,0.20152513682842255,3.580646514892578
10,000680,17836,l2_scale,0.2119287186868437,0.0,17836,0.38735929131507874,2.9778826236724854
11,000698,17933,l2_scale,0.2119287186868437,0.0,17933,0.18619759380817413,3.339972972869873
12,000716,18066,l2_scale,0.2119287186868437,0.0,18066,0.16619376838207245,2.9059829711914062
13,000734,18192,l2_scale,0.2119287186868437,0.0,18192,0.16213218867778778,2.8614823818206787
14,000752,18036,l2_scale,0.2119287186868437,0.0,18036,0.1518123596906662,3.0938282012939453
15,000770,18045,l2_scale,0.2119287186868437,0.0,18045,0.148494690656662,2.76548171043396
16,000788,17881,l2_scale,0.2119287186868437,0.0,17881,0.1622016876935959,2.9997446537017822
17,000806,17935,l2_scale,0.2119287186868437,0.0,17935,0.1943666785955429,3.730072021484375
18,000824,18214,l2_scale,0.2119287186868437,0.0,18214,0.2550785541534424,4.60528039932251
19,000842,18329,l2_scale,0.2119287186868437,0.0,18329,0.35704854130744934,6.117582321166992
20,000860,18062,l2_scale,0.2119287186868437,0.0,18062,0.3009660840034485,5.313556671142578
21,000878,18000,l2_scale,0.2119287186868437,0.0,18000,0.21325600147247314,3.0389866828918457
22,000896,18086,l2_scale,0.2119287186868437,0.0,18086,0.17516012489795685,3.610790967941284
23,000914,17970,l2_scale,0.2119287186868437,0.0,17970,0.17564594745635986,4.157088279724121
24,000932,18096,l2_scale,0.2119287186868437,0.0,18096,0.1626296192407608,4.311633586883545
25,000950,18058,l2_scale,0.2119287186868437,0.0,18058,0.1647612750530243,4.29362154006958
26,000968,17967,l2_scale,0.2119287186868437,0.0,17967,0.13718031346797943,3.833526611328125
27,000986,18082,l2_scale,0.2119287186868437,0.0,18082,0.12186022102832794,2.9789702892303467
28,001004,17894,l2_scale,0.2119287186868437,0.0,17894,0.16403332352638245,4.232734203338623
