frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse
0,000412,19581,l2_scale,0.14850641525490416,0.0,19581,0.22813475131988525,2.6826696395874023
1,000413,19578,l2_scale,0.14850641525490416,0.0,19578,0.25397083163261414,2.744544744491577
2,000414,19624,l2_scale,0.14850641525490416,0.0,19624,0.233755424618721,2.5294296741485596
3,000415,19779,l2_scale,0.14850641525490416,0.0,19779,0.24995988607406616,2.6041781902313232
4,000416,19598,l2_scale,0.14850641525490416,0.0,19598,0.2831350266933441,2.8469696044921875
5,000417,19639,l2_scale,0.14850641525490416,0.0,19639,0.30319148302078247,2.793170928955078
6,000418,19441,l2_scale,0.14850641525490416,0.0,19441,0.3124842643737793,3.0445361137390137
7,000419,19440,l2_scale,0.14850641525490416,0.0,19440,0.3249470591545105,3.001763105392456
8,000420,19387,l2_scale,0.14850641525490416,0.0,19387,0.32993942499160767,3.0286381244659424
9,000421,19421,l2_scale,0.14850641525490416,0.0,19421,0.3527108430862427,3.0160772800445557
10,000422,19211,l2_scale,0.14850641525490416,0.0,19211,0.3555997610092163,2.8213791847229004
11,000423,19347,l2_scale,0.14850641525490416,0.0,19347,0.34323951601982117,2.6606757640838623
12,000424,19329,l2_scale,0.14850641525490416,0.0,19329,0.3429476320743561,2.5898795127868652
13,000425,19381,l2_scale,0.14850641525490416,0.0,19381,0.36887237429618835,2.7418837547302246
14,000426,19390,l2_scale,0.14850641525490416,0.0,19390,0.3780452311038971,2.7143161296844482
15,000427,19591,l2_scale,0.14850641525490416,0.0,19591,0.37681111693382263,2.874803066253662
16,000428,19469,l2_scale,0.14850641525490416,0.0,19469,0.39066216349601746,2.9307971000671387
17,000429,19415,l2_scale,0.14850641525490416,0.0,19415,0.396173357963562,2.8761518001556396
18,000430,19256,l2_scale,0.14850641525490416,0.0,19256,0.3691551387310028,2.6321258544921875
19,000431,19301,l2_scale,0.14850641525490416,0.0,19301,0.36642026901245117,2.627220869064331
