frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse
0,001196,16976,robust_rel_scale,0.11368241645420042,0.0,12352,0.15882009267807007,1.9740285873413086
1,001206,17013,robust_rel_scale,0.11368241645420042,0.0,12884,0.13072730600833893,2.326277732849121
2,001216,16997,robust_rel_scale,0.11368241645420042,0.0,12802,0.1729270964860916,3.0996897220611572
3,001226,16868,robust_rel_scale,0.11368241645420042,0.0,13051,0.1443551778793335,2.62853741645813
4,001236,17106,robust_rel_scale,0.11368241645420042,0.0,13743,0.11818763613700867,2.3347389698028564
5,001246,16865,robust_rel_scale,0.11368241645420042,0.0,13437,0.15450945496559143,3.094268798828125
6,001256,16438,robust_rel_scale,0.11368241645420042,0.0,13004,0.1704547256231308,3.442662477493286
7,001266,16369,robust_rel_scale,0.11368241645420042,0.0,12777,0.20865510404109955,3.9067351818084717
8,001276,16610,robust_rel_scale,0.11368241645420042,0.0,13027,0.1046181470155716,1.6418676376342773
9,001286,16217,robust_rel_scale,0.11368241645420042,0.0,12884,0.15763621032238007,2.6527373790740967
