frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,sigma_status,sigma_input_pixels,sigma_kept_pixels,sigma_keep_ratio,sigma_residual_mean,sigma_residual_std,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,000148,36501,l2_scale,0.1983565234965153,0.0,35336,0.22114665806293488,5.715068340301514,ok,36501,35336,0.968083066217364,-0.05287774457440193,0.463990578794589,20000,0.7768376520359598,15128,0.13556553685523895,5535,0.6783516760088776
1,000150,37367,l2_scale,0.1983565234965153,0.0,36355,0.21939687430858612,5.6238694190979,ok,37367,36355,0.9729172799528997,-0.05287774457440193,0.463990578794589,20000,0.7922512127966435,15254,0.13210325008578477,5429,0.6942105351772703
2,000152,37423,l2_scale,0.1983565234965153,0.0,36591,0.2172449827194214,5.710061073303223,ok,37423,36591,0.9777676829757102,-0.05287774457440193,0.463990578794589,20000,0.7867496194321265,15109,0.12901196134592563,5523,0.691524161274556
3,000154,37782,l2_scale,0.1983565234965153,0.0,36865,0.22669993340969086,5.637409210205078,ok,37782,36865,0.9757291832089354,-0.05287774457440193,0.463990578794589,20000,0.7782343584305408,15088,0.1274020992780978,5541,0.6851416542816532
4,000156,37067,l2_scale,0.1983565234965153,0.0,36551,0.22103890776634216,5.794988632202148,ok,37067,36551,0.9860792618771413,-0.05287774457440193,0.463990578794589,20000,0.7917128874388254,15325,0.13795735417699648,5273,0.689689472234261
5,000158,37689,l2_scale,0.1983565234965153,0.0,37127,0.23866285383701324,6.204056262969971,ok,37689,37127,0.9850884873570538,-0.05287774457440193,0.463990578794589,20000,0.7603016428763802,14852,0.13882629155164716,5820,0.6617507414249092
6,000160,37722,l2_scale,0.1983565234965153,0.0,37250,0.2389400750398636,5.9766316413879395,ok,37722,37250,0.9874874078786915,-0.05287774457440193,0.463990578794589,20000,0.7671232876712328,14965,0.13208638565325936,5656,0.6722035140184616
7,000162,37895,l2_scale,0.1983565234965153,0.0,37246,0.24721798300743103,6.073100566864014,ok,37895,37246,0.9828737300435414,-0.05287774457440193,0.463990578794589,20000,0.7735135135135135,14800,0.13638086196462076,5824,0.6748984792847973
8,000164,37590,l2_scale,0.1983565234965153,0.0,36885,0.24282369017601013,5.975379943847656,ok,37590,36885,0.981245011971269,-0.05287774457440193,0.463990578794589,20000,0.7781369973732067,14847,0.15240959148531041,5784,0.6681368423403231
9,000166,37575,l2_scale,0.1983565234965153,0.0,36437,0.2431965470314026,6.132817268371582,ok,37575,36437,0.9697139055222888,-0.05287774457440193,0.463990578794589,20000,0.7660606889010388,14632,0.14420528225143947,5975,0.6631864104151896
10,000168,37372,l2_scale,0.1983565234965153,0.0,36044,0.23445113003253937,6.127945899963379,ok,37372,36044,0.964465375147169,-0.05287774457440193,0.463990578794589,20000,0.7601179860063109,14578,0.14109737706649766,6053,0.6600900657117299
11,000170,37949,l2_scale,0.1983565234965153,0.0,37358,0.23494313657283783,5.870794296264648,ok,37949,37358,0.9844264671005823,-0.05287774457440193,0.463990578794589,20000,0.7931129098641789,14578,0.13321630129686754,6056,0.6941924957092982
12,000172,38585,l2_scale,0.1983565234965153,0.0,38160,0.22823645174503326,5.77083683013916,ok,38585,38160,0.9889853570040171,-0.05287774457440193,0.463990578794589,20000,0.7864849517319704,14088,0.1328419965260312,6610,0.6886489210364194
13,000174,39041,l2_scale,0.1983565234965153,0.0,38620,0.24349713325500488,5.907332897186279,ok,39041,38620,0.9892164647421942,-0.05287774457440193,0.463990578794589,20000,0.7772569074508132,14079,0.1304996451678229,6596,0.682164813567446
14,000176,39104,l2_scale,0.1983565234965153,0.0,38730,0.2533120810985565,5.980331897735596,ok,39104,38730,0.9904357610474632,-0.05287774457440193,0.463990578794589,20000,0.7760023033182178,13893,0.13076253356147433,6710,0.6808846815033645
15,000178,39028,l2_scale,0.1983565234965153,0.0,38631,0.2642431855201721,6.052489280700684,ok,39028,38631,0.9898278159270267,-0.05287774457440193,0.463990578794589,20000,0.7797101449275362,13800,0.13645055156292216,6797,0.6802576952535173
16,000180,38351,l2_scale,0.1983565234965153,0.0,37822,0.2678133249282837,6.138025283813477,ok,38351,37822,0.9862063570702199,-0.05287774457440193,0.463990578794589,20000,0.7874846448442806,13839,0.1391488656399454,6814,0.6851892012024556
17,000182,38860,l2_scale,0.1983565234965153,0.0,38077,0.2828003764152527,6.198182582855225,ok,38860,38077,0.9798507462686568,-0.05287774457440193,0.463990578794589,20000,0.7609938266900389,13121,0.1267461680856751,7521,0.6704030358950315
18,000184,38748,l2_scale,0.1983565234965153,0.0,37970,0.27593713998794556,5.7610764503479,ok,38745,37970,0.9799974190218093,-0.05287774457440193,0.463990578794589,20000,0.7933965102286402,13296,0.11769189558671778,7366,0.7053056210996747
19,000186,38789,l2_scale,0.1983565234965153,0.0,37931,0.3084900379180908,5.781935214996338,ok,38785,37931,0.9779811782905763,-0.05287774457440193,0.463990578794589,20000,0.7858955625624856,13003,0.11363178214041403,7674,0.7014798180371781
20,000188,38146,l2_scale,0.1983565234965153,0.0,36913,0.2592865228652954,5.670689582824707,ok,38143,36913,0.967752929764308,-0.05287774457440193,0.463990578794589,20000,0.802356722013926,13069,0.1246976317998488,7619,0.7082914543824118
21,000190,37753,l2_scale,0.1983565234965153,0.0,36585,0.23495909571647644,5.59946870803833,ok,37748,36585,0.9691904206845395,-0.05287774457440193,0.463990578794589,20000,0.7949992234819071,12878,0.12576708783841348,7835,0.7010463818173657
22,000192,37268,l2_scale,0.1983565234965153,0.0,35661,0.22411316633224487,5.5922017097473145,ok,37264,35661,0.9569826105624731,-0.05287774457440193,0.463990578794589,20000,0.8120795335625655,13378,0.13608332577022633,7280,0.708758577549993
23,000194,37429,l2_scale,0.1983565234965153,0.0,35386,0.2525181472301483,6.047666549682617,ok,37423,35386,0.9455682334393287,-0.05287774457440193,0.463990578794589,20000,0.770384047267356,13540,0.1509351658067147,7141,0.6624558985280913
24,000196,37996,l2_scale,0.1983565234965153,0.0,36025,0.27478981018066406,6.136104106903076,ok,37990,36025,0.9482758620689655,-0.05287774457440193,0.463990578794589,20000,0.7706401266681746,13263,0.14364747448065687,7367,0.6675231213066871
25,000198,39018,l2_scale,0.1983565234965153,0.0,38100,0.2819055914878845,5.913390159606934,ok,39012,38100,0.9766225776684098,-0.05287774457440193,0.463990578794589,20000,0.7645262216924911,13424,0.13554142944617614,7186,0.667617159334366
26,000200,38973,l2_scale,0.1983565234965153,0.0,38606,0.2624729573726654,5.310268878936768,ok,38969,38606,0.9906849033847417,-0.05287774457440193,0.463990578794589,20000,0.797421875,12800,0.130926311406255,7731,0.6995641904403876
27,000202,38790,l2_scale,0.1983565234965153,0.0,38074,0.2704547047615051,5.284885883331299,ok,38783,38074,0.9817187943170977,-0.05287774457440193,0.463990578794589,20000,0.7976294646408401,12571,0.13504646158508007,7922,0.6968691764892072
28,000204,38638,l2_scale,0.1983565234965153,0.0,37524,0.2669229209423065,5.066035747528076,ok,38630,37524,0.9713694020191561,-0.05287774457440193,0.463990578794589,20000,0.8115896632732967,12770,0.12457452926897532,7854,0.7165301617742282
29,000206,38408,l2_scale,0.1983565234965153,0.0,37489,0.26807305216789246,4.996427536010742,ok,38402,37489,0.9762251966043435,-0.05287774457440193,0.463990578794589,20000,0.8203395158755108,12724,0.12138424091627242,7890,0.7265694381124264
30,000208,38463,l2_scale,0.1983565234965153,0.0,37619,0.2507445216178894,4.65119743347168,ok,38459,37619,0.9781585584648587,-0.05287774457440193,0.463990578794589,20000,0.8322191423446926,12266,0.11518727880267594,8399,0.7416730551482027
31,000210,38076,l2_scale,0.1983565234965153,0.0,37128,0.249126598238945,4.902158737182617,ok,38074,37128,0.9751536481588485,-0.05287774457440193,0.463990578794589,20000,0.8167194735559347,12309,0.1312711696716261,8387,0.7162465882061773
