frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,sigma_status,sigma_input_pixels,sigma_kept_pixels,sigma_keep_ratio,sigma_residual_mean,sigma_residual_std,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,001146,17331,l2_scale,0.11310208196532053,0.0,16847,0.1829792559146881,2.8330578804016113,ok,17277,16847,0.9751114198066794,-0.17547539011417396,0.32647581601218306,20000,0.9365545855302965,11569,0.05338263869473773,9421,0.8878698511487797
1,001151,17325,l2_scale,0.11310208196532053,0.0,16785,0.17190754413604736,3.0499186515808105,ok,17277,16785,0.9715228338253169,-0.17547539011417396,0.32647581601218306,20000,0.923472397808681,11865,0.06246731176938686,9033,0.867550391872943
2,001156,17206,l2_scale,0.11310208196532053,0.0,16744,0.18676309287548065,2.9160315990448,ok,17124,16744,0.977808923148797,-0.17547539011417396,0.32647581601218306,20000,0.9166265446958755,12462,0.06425192398542938,8522,0.859583704595308
3,001161,17104,l2_scale,0.11310208196532053,0.0,16609,0.15891820192337036,2.8373289108276367,ok,17024,16609,0.9756226503759399,-0.17547539011417396,0.32647581601218306,20000,0.909789364640884,11584,0.06424362880392852,9244,0.8531790882299565
4,001166,17238,l2_scale,0.11310208196532053,0.0,16809,0.16010481119155884,2.7046239376068115,ok,17165,16809,0.9792601223419749,-0.17547539011417396,0.32647581601218306,20000,0.9371176070700203,11768,0.0609525619634677,8995,0.8817038484420683
5,001171,16937,l2_scale,0.11310208196532053,0.0,16464,0.1483786553144455,2.680771589279175,ok,16866,16464,0.976165065812878,-0.17547539011417396,0.32647581601218306,20000,0.9269031912996969,11218,0.05454203860601572,9471,0.8777019657460152
6,001176,17204,l2_scale,0.11310208196532053,0.0,16543,0.24124330282211304,3.3837552070617676,ok,17027,16543,0.971574558054854,-0.17547539011417396,0.32647581601218306,20000,0.9242982456140351,11400,0.05912613287763506,9155,0.8712323148906888
7,001181,17011,l2_scale,0.11310208196532053,0.0,16559,0.1359180361032486,2.645512819290161,ok,16928,16559,0.9782017958412098,-0.17547539011417396,0.32647581601218306,20000,0.9387160447410471,10639,0.04352751567091832,9962,0.8987325707127081
8,001186,17313,l2_scale,0.11310208196532053,0.0,16844,0.12758897244930267,2.5436325073242188,ok,17237,16844,0.9772002088530487,-0.17547539011417396,0.32647581601218306,20000,0.937370557534587,12071,0.0448895162385695,8612,0.8962229051554523
9,001191,17126,l2_scale,0.11310208196532053,0.0,16838,0.14949515461921692,2.4579272270202637,ok,17058,16838,0.9871028256536523,-0.17547539011417396,0.32647581601218306,20000,0.9558749791074712,11966,0.04311169868166713,8836,0.9155412595038016
10,001196,16976,l2_scale,0.11310208196532053,0.0,16594,0.15501345694065094,2.567188024520874,ok,16882,16594,0.9829404099040399,-0.17547539011417396,0.32647581601218306,20000,0.9543985637342909,11140,0.05233421560468701,9564,0.9057353455491697
11,001201,17045,l2_scale,0.11310208196532053,0.0,16637,0.1285426914691925,2.5109217166900635,ok,16962,16637,0.9808395236410801,-0.17547539011417396,0.32647581601218306,20000,0.947972730534625,11148,0.04464282813241122,9498,0.9065832914645653
12,001206,17013,l2_scale,0.11310208196532053,0.0,16581,0.12540224194526672,2.5506951808929443,ok,16914,16581,0.9803121674352607,-0.17547539011417396,0.32647581601218306,20000,0.9413955137866832,11279,0.043683451610558366,9318,0.9011573772374165
13,001211,16972,l2_scale,0.11310208196532053,0.0,16294,0.140457883477211,2.660799741744995,ok,16838,16294,0.9676921249554579,-0.17547539011417396,0.32647581601218306,20000,0.9385432473444613,10544,0.048719009288267945,10025,0.8939143158606476
14,001216,16997,l2_scale,0.11310208196532053,0.0,16443,0.1343899667263031,2.5867931842803955,ok,16884,16443,0.9738805970149254,-0.17547539011417396,0.32647581601218306,20000,0.9419953596287703,10775,0.04517089191049561,9687,0.9003913089643041
15,001221,16863,l2_scale,0.11310208196532053,0.0,16167,0.13602979481220245,2.6196281909942627,ok,16760,16167,0.964618138424821,-0.17547539011417396,0.32647581601218306,20000,0.9388454441613215,11381,0.049349177421661075,9164,0.893638822649092
16,001226,16868,l2_scale,0.11310208196532053,0.0,16151,0.1412132978439331,2.493476152420044,ok,16753,16151,0.9640661374082254,-0.17547539011417396,0.32647581601218306,20000,0.9482149169317781,11316,0.048874710186617994,9323,0.9029854785961462
17,001231,16740,l2_scale,0.11310208196532053,0.0,16066,0.12241572141647339,2.3727993965148926,ok,16623,16066,0.9664922095891235,-0.17547539011417396,0.32647581601218306,20000,0.9431568907963758,10485,0.04123136250791089,9953,0.9050600367122817
18,001236,17106,l2_scale,0.11310208196532053,0.0,16462,0.12700140476226807,2.413792133331299,ok,16964,16462,0.9704079226597501,-0.17547539011417396,0.32647581601218306,20000,0.9468346952840405,10157,0.04483169837370535,10308,0.9053239390738939
19,001241,16790,l2_scale,0.11310208196532053,0.0,16182,0.11002153903245926,2.4566590785980225,ok,16662,16182,0.9711919337414476,-0.17547539011417396,0.32647581601218306,20000,0.9505174035747883,10630,0.04060684644721865,9814,0.9126930504607076
20,001246,16865,l2_scale,0.11310208196532053,0.0,15952,0.13273198902606964,2.6800107955932617,ok,16674,15952,0.9566990524169365,-0.17547539011417396,0.32647581601218306,20000,0.9350301406563966,10451,0.05308261548794228,10013,0.8866906390611821
21,001251,16858,l2_scale,0.11310208196532053,0.0,15979,0.12599731981754303,2.818934679031372,ok,16680,15979,0.9579736211031175,-0.17547539011417396,0.32647581601218306,20000,0.9291309212980231,10724,0.050594047802128284,9734,0.8832917981163076
22,001256,16438,l2_scale,0.11310208196532053,0.0,15207,0.13300004601478577,2.926377058029175,ok,16199,15207,0.9387616519538243,-0.17547539011417396,0.32647581601218306,20000,0.9261586087589911,10983,0.05967529337255816,9419,0.8725065928850205
23,001261,16635,l2_scale,0.11310208196532053,0.0,15326,0.14013226330280304,3.0529212951660156,ok,16377,15326,0.9358246321060023,-0.17547539011417396,0.32647581601218306,20000,0.907938564026647,10808,0.0676547868477418,9541,0.8485439907968675
24,001266,16369,l2_scale,0.11310208196532053,0.0,15088,0.13641183078289032,3.045377254486084,ok,16141,15088,0.9347624062945294,-0.17547539011417396,0.32647581601218306,20000,0.9196274246207029,10414,0.0576690052059853,9965,0.8680936578383638
25,001271,16762,l2_scale,0.11310208196532053,0.0,15743,0.12962816655635834,2.840301275253296,ok,16503,15743,0.9539477670726535,-0.17547539011417396,0.32647581601218306,20000,0.9320607924733129,11054,0.054210541885752424,9260,0.8828784175443661
26,001276,16610,l2_scale,0.11310208196532053,0.0,16088,0.12644144892692566,2.210496664047241,ok,16424,16088,0.9795421334632245,-0.17547539011417396,0.32647581601218306,20000,0.9701533406352684,10956,0.03926824635028207,9347,0.9327954108090136
27,001281,16545,l2_scale,0.11310208196532053,0.0,16031,0.11345328390598297,2.184561252593994,ok,16358,16031,0.9800097811468395,-0.17547539011417396,0.32647581601218306,20000,0.9610628019323672,10350,0.033759078085455155,9955,0.9291597464963346
28,001286,16217,l2_scale,0.11310208196532053,0.0,15093,0.1187296211719513,2.6464178562164307,ok,15954,15093,0.946032342986085,-0.17547539011417396,0.32647581601218306,20000,0.9451817657241778,10398,0.048730732781554056,9876,0.9002266103405506
29,001291,16129,l2_scale,0.11310208196532053,0.0,15088,0.14697404205799103,2.695552110671997,ok,15857,15088,0.9515040676042127,-0.17547539011417396,0.32647581601218306,20000,0.944761554041613,10862,0.05977925449980103,9469,0.8899393527167486
30,001296,16488,l2_scale,0.11310208196532053,0.0,15311,0.14610765874385834,2.709958076477051,ok,16246,15311,0.9424473716607165,-0.17547539011417396,0.32647581601218306,20000,0.932800345721694,9256,0.05217625200169636,10979,0.8853782317561832
31,001301,16223,l2_scale,0.11310208196532053,0.0,15793,0.1047946959733963,2.169973850250244,ok,16038,15793,0.9847237810200773,-0.17547539011417396,0.32647581601218306,20000,0.9640846437584935,10302,0.0338535497987565,9966,0.9319932253169171
32,001306,16322,l2_scale,0.11310208196532053,0.0,15263,0.1221567690372467,2.6913399696350098,ok,16043,15263,0.9513806644642523,-0.17547539011417396,0.32647581601218306,20000,0.9389624614159116,10043,0.048199442519761014,10237,0.8947783721226741
33,001311,16245,l2_scale,0.11310208196532053,0.0,15569,0.15750013291835785,2.7054851055145264,ok,16065,15569,0.9691254279489574,-0.17547539011417396,0.32647581601218306,20000,0.9436900958466453,10016,0.048660545914903354,10277,0.8988689745118524
34,001316,15800,l2_scale,0.11310208196532053,0.0,15054,0.11523154377937317,2.7341911792755127,ok,15495,15054,0.9715392061955469,-0.17547539011417396,0.32647581601218306,20000,0.9477604991153739,10739,0.0483168032123215,9630,0.9030564172683168
35,001321,16027,l2_scale,0.11310208196532053,0.0,14929,0.12063179910182953,2.8280131816864014,ok,15594,14929,0.9573553930999102,-0.17547539011417396,0.32647581601218306,20000,0.9427532069691748,10446,0.05637815921102743,9989,0.891073021483053
36,001326,15892,l2_scale,0.11310208196532053,0.0,14414,0.13871273398399353,3.0006327629089355,ok,15455,14414,0.9326431575541896,-0.17547539011417396,0.32647581601218306,20000,0.9189779635258358,10528,0.06771871785768391,9862,0.8588063203212454
37,001331,16141,l2_scale,0.11310208196532053,0.0,15332,0.11325416713953018,2.621075391769409,ok,15817,15332,0.9693367895302523,-0.17547539011417396,0.32647581601218306,20000,0.9431201104463874,10865,0.05825099792407063,9501,0.889751888742798
38,001336,15833,l2_scale,0.11310208196532053,0.0,14982,0.12790913879871368,2.6446821689605713,ok,15495,14982,0.966892545982575,-0.17547539011417396,0.32647581601218306,20000,0.9504641030498201,10558,0.053730296211541254,9817,0.9007431083784492
39,001341,16162,l2_scale,0.11310208196532053,0.0,15280,0.12629903852939606,2.802903413772583,ok,15855,15280,0.9637338379060233,-0.17547539011417396,0.32647581601218306,20000,0.9367248062015504,10320,0.05536154774844296,10052,0.8862756278990789
