frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,sigma_status,sigma_input_pixels,sigma_kept_pixels,sigma_keep_ratio,sigma_residual_mean,sigma_residual_std,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,001146,17331,l2_scale,0.11099918950869746,0.0,16845,0.17499104142189026,2.8129770755767822,ok,17274,16845,0.9751649878430011,-0.16496035436346387,0.32295862046525275,20000,0.9343936381709742,11569,0.053901065190931644,9393,0.8853621217138113
1,001151,17325,l2_scale,0.11099918950869746,0.0,16766,0.1651119738817215,2.968076229095459,ok,17269,16766,0.9708726619954833,-0.16496035436346387,0.32295862046525275,20000,0.92272491797617,11582,0.06571751944250685,9270,0.8640353136758282
2,001156,17206,l2_scale,0.11099918950869746,0.0,16736,0.1818111091852188,2.902512311935425,ok,17124,16736,0.9773417425835085,-0.16496035436346387,0.32295862046525275,20000,0.9101512226512226,12432,0.07351492613616255,8517,0.8456417768430895
3,001161,17104,l2_scale,0.11099918950869746,0.0,16616,0.15485639870166779,2.882143974304199,ok,17021,16616,0.9762058633452794,-0.16496035436346387,0.32295862046525275,20000,0.9112318840579711,11592,0.062049018010337326,9153,0.8564092732169891
4,001166,17238,l2_scale,0.11099918950869746,0.0,16807,0.15674415230751038,2.6986734867095947,ok,17159,16807,0.9794859840317035,-0.16496035436346387,0.32295862046525275,20000,0.9332937786065435,11798,0.05959105669130905,8974,0.8793024914617793
5,001171,16937,l2_scale,0.11099918950869746,0.0,16455,0.1439489871263504,2.741567373275757,ok,16858,16455,0.9760944358761419,-0.16496035436346387,0.32295862046525275,20000,0.9305371206087957,11301,0.05360403186253198,9389,0.8819699072047245
6,001176,17204,l2_scale,0.11099918950869746,0.0,16523,0.23384222388267517,3.3280789852142334,ok,16992,16523,0.9723987758945386,-0.16496035436346387,0.32295862046525275,20000,0.9193293539325843,11392,0.057739443072888696,9188,0.8677511656395883
7,001181,17011,l2_scale,0.11099918950869746,0.0,16537,0.12983432412147522,2.6697659492492676,ok,16913,16537,0.9777685803819547,-0.16496035436346387,0.32295862046525275,20000,0.9386890186475796,10618,0.04566913520232656,9939,0.896784067454354
8,001186,17313,l2_scale,0.11099918950869746,0.0,16822,0.12338362634181976,2.5265183448791504,ok,17229,16822,0.9763770387137966,-0.16496035436346387,0.32295862046525275,20000,0.9399293286219081,11886,0.04605082852567387,8813,0.8976263241454598
9,001191,17126,l2_scale,0.11099918950869746,0.0,16804,0.14588703215122223,2.436325788497925,ok,17048,16804,0.9856874706710465,-0.16496035436346387,0.32295862046525275,20000,0.9600399600399601,12012,0.04211091837292775,8776,0.9204512052119797
10,001196,16976,l2_scale,0.11099918950869746,0.0,16553,0.14956188201904297,2.5781404972076416,ok,16864,16553,0.9815583491461101,-0.16496035436346387,0.32295862046525275,20000,0.9494456762749446,11275,0.050081934163806165,9479,0.9030666691939855
11,001201,17045,l2_scale,0.11099918950869746,0.0,16610,0.12375684082508087,2.508462429046631,ok,16938,16610,0.9806352579997638,-0.16496035436346387,0.32295862046525275,20000,0.9469594289328634,11067,0.04123381668193907,9568,0.9087067491300131
12,001206,17013,l2_scale,0.11099918950869746,0.0,16540,0.12260033935308456,2.5136325359344482,ok,16888,16540,0.9793936522974893,-0.16496035436346387,0.32295862046525275,20000,0.9405584986980335,11137,0.03904978497622905,9467,0.9045377696041309
13,001211,16972,l2_scale,0.11099918950869746,0.0,16276,0.13738295435905457,2.643778085708618,ok,16811,16276,0.9681755993099757,-0.16496035436346387,0.32295862046525275,20000,0.9386980275951476,10799,0.04837517620306213,9800,0.8943691969721743
14,001216,16997,l2_scale,0.11099918950869746,0.0,16423,0.13268709182739258,2.5711262226104736,ok,16853,16423,0.9744852548507684,-0.16496035436346387,0.32295862046525275,20000,0.9417689067936276,10922,0.04389555274796068,9550,0.9013236182401486
