frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,sigma_status,sigma_input_pixels,sigma_kept_pixels,sigma_keep_ratio,sigma_residual_mean,sigma_residual_std,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,000412,19581,l2_scale,0.14568862739070357,0.0,18715,0.19003307819366455,1.7329946756362915,ok,19581,18715,0.955773453858332,-0.14426144393206108,0.37964230008877553,20000,0.6451262557697529,3683,0.06250410787847312,16417,0.6060375423003661
1,000413,19578,l2_scale,0.14568862739070357,0.0,18639,0.20480607450008392,1.8374983072280884,ok,19578,18639,0.9520380018387986,-0.14426144393206108,0.37964230008877553,20000,0.6059053196681308,4098,0.05929462328147568,16105,0.571022784927106
2,000414,19624,l2_scale,0.14568862739070357,0.0,18912,0.19639070332050323,1.8083171844482422,ok,19624,18912,0.9637178964533225,-0.14426144393206108,0.37964230008877553,20000,0.6124112542729424,3803,0.06548022704700308,16342,0.5735951385344911
3,000415,19779,l2_scale,0.14568862739070357,0.0,19106,0.21753254532814026,1.9892346858978271,ok,19779,19106,0.965974012841903,-0.14426144393206108,0.37964230008877553,20000,0.6438473021966304,4689,0.06780236368848548,15476,0.6016399796187785
4,000416,19598,l2_scale,0.14568862739070357,0.0,18668,0.2342267483472824,2.0596814155578613,ok,19546,18668,0.9550803233398137,-0.14426144393206108,0.37964230008877553,20000,0.6519067128900095,6346,0.08190120886275189,13824,0.6006427095168837
5,000417,19639,l2_scale,0.14568862739070357,0.0,18799,0.2506893575191498,2.0117695331573486,ok,19407,18799,0.9686710980574019,-0.14426144393206108,0.37964230008877553,20000,0.6520085964622252,6049,0.07847795896047127,14102,0.602796576639161
6,000418,19441,l2_scale,0.14568862739070357,0.0,18515,0.2495545744895935,2.1972861289978027,ok,19039,18515,0.9724775460896056,-0.14426144393206108,0.37964230008877553,20000,0.6520431870985377,7317,0.08099356098096742,12835,0.6013139855514398
7,000419,19440,l2_scale,0.14568862739070357,0.0,18473,0.2636038661003113,2.2204771041870117,ok,19084,18473,0.967983651226158,-0.14426144393206108,0.37964230008877553,20000,0.6238192494255808,7834,0.06884284201286626,12318,0.582318657872534
8,000420,19387,l2_scale,0.14568862739070357,0.0,18299,0.27085864543914795,2.1855297088623047,ok,19036,18299,0.9612838831687329,-0.14426144393206108,0.37964230008877553,20000,0.5930128061109863,8902,0.06060626460701648,11250,0.5581399456669885
9,000421,19421,l2_scale,0.14568862739070357,0.0,18248,0.27895525097846985,2.1578049659729004,ok,19084,18248,0.9561936700901279,-0.14426144393206108,0.37964230008877553,20000,0.5815706806282722,9550,0.06035695152926204,10607,0.5475071723813975
10,000422,19211,l2_scale,0.14568862739070357,0.0,18039,0.28399476408958435,2.079867124557495,ok,18840,18039,0.9574840764331211,-0.14426144393206108,0.37964230008877553,20000,0.5518514496688023,9209,0.05037113768258237,10954,0.5247425490004263
11,000423,19347,l2_scale,0.14568862739070357,0.0,18162,0.29831722378730774,2.059415340423584,ok,18587,18162,0.9771345564103944,-0.14426144393206108,0.37964230008877553,20000,0.5734474522292994,10048,0.05148631198622329,10094,0.5446699385875109
12,000424,19329,l2_scale,0.14568862739070357,0.0,18092,0.2951473891735077,2.0099000930786133,ok,18682,18092,0.9684187988438069,-0.14426144393206108,0.37964230008877553,20000,0.5757772722348607,9231,0.05442232366469606,10918,0.5452795408212366
13,000425,19381,l2_scale,0.14568862739070357,0.0,17995,0.32028070092201233,2.1233420372009277,ok,18687,17995,0.9629689088671268,-0.14426144393206108,0.37964230008877553,20000,0.5762403277196176,8788,0.05683137198109579,11346,0.5444049902890125
14,000426,19390,l2_scale,0.14568862739070357,0.0,17936,0.32293233275413513,2.103426456451416,ok,18662,17936,0.9610974172114457,-0.14426144393206108,0.37964230008877553,20000,0.6135232926277703,8844,0.058476862527845154,11256,0.5786752085115002
15,000427,19591,l2_scale,0.14568862739070357,0.0,17767,0.32076311111450195,2.086690902709961,ok,18521,17767,0.9592894552130015,-0.14426144393206108,0.37964230008877553,20000,0.6067919692439129,9364,0.05806115871688453,10759,0.5725641915199743
16,000428,19469,l2_scale,0.14568862739070357,0.0,17941,0.314264714717865,2.1261911392211914,ok,18651,17941,0.9619323360677712,-0.14426144393206108,0.37964230008877553,20000,0.6183431952662722,9464,0.0584096830570235,10679,0.5832605228029284
17,000429,19415,l2_scale,0.14568862739070357,0.0,18038,0.3136143684387207,2.0541720390319824,ok,18773,18038,0.9608480264209237,-0.14426144393206108,0.37964230008877553,20000,0.59465882086681,8837,0.05281366963226311,11265,0.5640676330945513
18,000430,19256,l2_scale,0.14568862739070357,0.0,17926,0.3069346845149994,2.028104782104492,ok,18560,17926,0.9658405172413793,-0.14426144393206108,0.37964230008877553,20000,0.5936439719520471,8842,0.05180614927203302,11294,0.5636726169582914
19,000431,19301,l2_scale,0.14568862739070357,0.0,18101,0.29546234011650085,1.9175106287002563,ok,18564,18101,0.9750592544710192,-0.14426144393206108,0.37964230008877553,20000,0.6095963933018463,9316,0.05510363317773752,10811,0.5769141419623064
20,000432,19319,l2_scale,0.14568862739070357,0.0,17956,0.30099788308143616,1.986220121383667,ok,18632,17956,0.963718334048948,-0.14426144393206108,0.37964230008877553,20000,0.5762841530054644,9150,0.05884826597354917,10990,0.5433494103355082
21,000433,19483,l2_scale,0.14568862739070357,0.0,18096,0.30759623646736145,1.979792833328247,ok,18811,18096,0.9619903248099516,-0.14426144393206108,0.37964230008877553,20000,0.6309510780343658,9137,0.06324247760472877,10971,0.5922837639758977
22,000434,19453,l2_scale,0.14568862739070357,0.0,18150,0.29837921261787415,1.9515142440795898,ok,18900,18150,0.9603174603174603,-0.14426144393206108,0.37964230008877553,20000,0.6417543074513314,8938,0.07219574237350572,11248,0.5970553301370953
23,000435,19613,l2_scale,0.14568862739070357,0.0,18338,0.29379332065582275,1.8573545217514038,ok,19037,18338,0.9632820297315754,-0.14426144393206108,0.37964230008877553,20000,0.6671685002895194,8635,0.08541202374494763,11555,0.612550026124409
24,000436,19694,l2_scale,0.14568862739070357,0.0,18472,0.29616114497184753,1.839367389678955,ok,19153,18472,0.9644442123949251,-0.14426144393206108,0.37964230008877553,20000,0.670705725699068,7510,0.10938327104348469,12684,0.6012117542045418
25,000437,19486,l2_scale,0.14568862739070357,0.0,18244,0.2858673334121704,1.6413758993148804,ok,19000,18244,0.9602105263157895,-0.14426144393206108,0.37964230008877553,20000,0.6789473684210526,7030,0.1085202512552693,13179,0.6091249139698611
26,000438,19786,l2_scale,0.14568862739070357,0.0,18643,0.28702691197395325,1.685403823852539,ok,19279,18643,0.9670107370714248,-0.14426144393206108,0.37964230008877553,20000,0.6775405892964522,6652,0.09800871639055776,13581,0.6142860781537072
27,000439,19583,l2_scale,0.14568862739070357,0.0,18032,0.28401702642440796,1.790505051612854,ok,18980,18032,0.9500526870389884,-0.14426144393206108,0.37964230008877553,20000,0.6751621173277033,6631,0.11420574117564616,13631,0.6022948410990886
28,000440,19587,l2_scale,0.14568862739070357,0.0,18211,0.28619882464408875,1.7599883079528809,ok,18986,18211,0.9591804487517118,-0.14426144393206108,0.37964230008877553,20000,0.6864197530864198,7290,0.12313276069172806,13011,0.6068954677075676
29,000441,19538,l2_scale,0.14568862739070357,0.0,18040,0.27466702461242676,1.8006354570388794,ok,18853,18040,0.9568768896196892,-0.14426144393206108,0.37964230008877553,20000,0.6616172867008242,8978,0.10659019622618217,11468,0.5947237879156674
30,000442,19429,l2_scale,0.14568862739070357,0.0,18295,0.26937079429626465,1.7906296253204346,ok,19035,18295,0.961124244812188,-0.14426144393206108,0.37964230008877553,20000,0.6826325848064978,8372,0.09116192150248849,12108,0.6231547296456157
31,000443,19444,l2_scale,0.14568862739070357,0.0,18551,0.26776641607284546,1.7975959777832031,ok,19230,18551,0.9646905876235049,-0.14426144393206108,0.37964230008877553,20000,0.6981618471194799,8922,0.09713357547071963,11564,0.633536347038452
32,000444,19686,l2_scale,0.14568862739070357,0.0,18821,0.25621387362480164,1.7024353742599487,ok,19537,18821,0.9633515892921124,-0.14426144393206108,0.37964230008877553,20000,0.7056741915802318,8195,0.10423190614257985,12119,0.6358239646075966
33,000445,19769,l2_scale,0.14568862739070357,0.0,19098,0.2407173365354538,1.6408045291900635,ok,19714,19098,0.968753170335802,-0.14426144393206108,0.37964230008877553,20000,0.7152184235517569,8424,0.08953504616263268,11855,0.6539644141516016
34,000446,19892,l2_scale,0.14568862739070357,0.0,19341,0.25292399525642395,1.8169333934783936,ok,19818,19341,0.9759309718437784,-0.14426144393206108,0.37964230008877553,20000,0.6927088992719765,9203,0.09364971802441276,11115,0.6307818830890789
35,000447,19843,l2_scale,0.14568862739070357,0.0,19386,0.234083890914917,1.8848299980163574,ok,19777,19386,0.980229559589422,-0.14426144393206108,0.37964230008877553,20000,0.7397631133671743,8865,0.08975217593085313,11424,0.6762601517970743
36,000448,19902,l2_scale,0.14568862739070357,0.0,19627,0.2151108831167221,1.758769154548645,ok,19853,19627,0.9886163300256888,-0.14426144393206108,0.37964230008877553,20000,0.7595183486238533,8720,0.07974964432098364,11586,0.7012993552953767
37,000449,19700,l2_scale,0.14568862739070357,0.0,19431,0.225339874625206,1.8908177614212036,ok,19693,19431,0.9866957802264764,-0.14426144393206108,0.37964230008877553,20000,0.8077064670511719,8149,0.06824958115256606,12071,0.7544199139283222
38,000450,19848,l2_scale,0.14568862739070357,0.0,19479,0.22078505158424377,1.790451169013977,ok,19773,19479,0.9851312395691094,-0.14426144393206108,0.37964230008877553,20000,0.8035665294924554,7290,0.060912193147484535,12946,0.7560804517827547
39,000451,19867,l2_scale,0.14568862739070357,0.0,19716,0.20842067897319794,1.635974407196045,ok,19771,19716,0.997218147792221,-0.14426144393206108,0.37964230008877553,20000,0.8066484872094534,7701,0.06608207367644801,12568,0.7550665718782282
40,000452,19681,l2_scale,0.14568862739070357,0.0,19613,0.20286741852760315,1.725888729095459,ok,19668,19613,0.9972035794183445,-0.14426144393206108,0.37964230008877553,20000,0.7686785429407073,7522,0.0691410799760507,12702,0.7173269849173314
41,000453,19752,l2_scale,0.14568862739070357,0.0,19591,0.19028405845165253,1.5782281160354614,ok,19639,19591,0.9975558837007994,-0.14426144393206108,0.37964230008877553,20000,0.7663587374903772,7794,0.07147455928144912,12398,0.7134952835076382
42,000454,19568,l2_scale,0.14568862739070357,0.0,19455,0.19108349084854126,1.7466999292373657,ok,19499,19455,0.997743474024309,-0.14426144393206108,0.37964230008877553,20000,0.8204545454545454,7480,0.05555278750706621,12754,0.7761188944120833
43,000455,19635,l2_scale,0.14568862739070357,0.0,19539,0.19472025334835052,1.680458664894104,ok,19557,19539,0.9990796134376438,-0.14426144393206108,0.37964230008877553,20000,0.7911084940379802,6793,0.056711618214067894,13429,0.7474919236704337
44,000456,19650,l2_scale,0.14568862739070357,0.0,19544,0.19252227246761322,1.7308388948440552,ok,19590,19544,0.9976518631955079,-0.14426144393206108,0.37964230008877553,20000,0.8248803827751197,7315,0.05729429256265774,12895,0.7789478452137105
45,000457,19820,l2_scale,0.14568862739070357,0.0,19727,0.1836865246295929,1.7981923818588257,ok,19749,19727,0.9988860195452934,-0.14426144393206108,0.37964230008877553,20000,0.7779766001376462,7265,0.05966173874271702,12945,0.7329186460249837
46,000458,19817,l2_scale,0.14568862739070357,0.0,19685,0.18533781170845032,1.704411268234253,ok,19701,19685,0.9991878584843409,-0.14426144393206108,0.37964230008877553,20000,0.7856664434025452,7465,0.056479903305097674,12809,0.7425219457393076
47,000459,19907,l2_scale,0.14568862739070357,0.0,19679,0.17730110883712769,1.7317447662353516,ok,19734,19679,0.9972129319955407,-0.14426144393206108,0.37964230008877553,20000,0.7844719632670099,7187,0.06397635991610968,13056,0.7358560190285468
48,000460,19797,l2_scale,0.14568862739070357,0.0,19529,0.17872387170791626,1.7508741617202759,ok,19576,19529,0.9975991009399264,-0.14426144393206108,0.37964230008877553,20000,0.7722147651006711,7450,0.058708900914827604,12819,0.7281840291585053
49,000461,19920,l2_scale,0.14568862739070357,0.0,19598,0.19170206785202026,1.820065975189209,ok,19701,19598,0.9947718389929445,-0.14426144393206108,0.37964230008877553,20000,0.8006206361520558,7734,0.05854455585709082,12545,0.7550943182094985
