frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,sigma_status,sigma_input_pixels,sigma_kept_pixels,sigma_keep_ratio,sigma_residual_mean,sigma_residual_std,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,001146,17331,l2_scale,0.11041009219525245,0.0,16790,0.15186156332492828,2.710306406021118,ok,17222,16790,0.9749158053652305,-0.15049165011440402,0.3181817390632204,20000,0.9375703524114642,11549,0.05935456367831894,9424,0.8835405908335702
1,001151,17325,l2_scale,0.11041009219525245,0.0,16731,0.14284951984882355,2.9064998626708984,ok,17225,16731,0.9713207547169811,-0.15049165011440402,0.3181817390632204,20000,0.9218910585817061,11676,0.06506022649546682,9229,0.8638220892316548
2,001156,17206,l2_scale,0.11041009219525245,0.0,16649,0.1609642058610916,2.8628227710723877,ok,17040,16649,0.9770539906103286,-0.15049165011440402,0.3181817390632204,20000,0.9250406504065041,12300,0.06274978818752676,8714,0.8687782329795735
3,001161,17104,l2_scale,0.11041009219525245,0.0,16565,0.13337385654449463,2.801225185394287,ok,16975,16565,0.9758468335787923,-0.15049165011440402,0.3181817390632204,20000,0.9109021907883388,11594,0.06439151114339907,9268,0.8540963553354012
4,001166,17238,l2_scale,0.11041009219525245,0.0,16738,0.13514219224452972,2.646253824234009,ok,17091,16738,0.9793458545433269,-0.15049165011440402,0.3181817390632204,20000,0.9365932753029528,11718,0.05792078948567158,9054,0.8838862053174085
5,001171,16937,l2_scale,0.11041009219525245,0.0,16402,0.12313461303710938,2.6627895832061768,ok,16803,16402,0.9761352139498899,-0.15049165011440402,0.3181817390632204,20000,0.9326341983647352,11252,0.05215228433760104,9451,0.8852417479941815
6,001176,17204,l2_scale,0.11041009219525245,0.0,16406,0.2159542739391327,3.306184768676758,ok,16893,16406,0.9711714911501805,-0.15049165011440402,0.3181817390632204,20000,0.9272838641932096,11428,0.05393089065769203,9170,0.8785992220940002
7,001181,17011,l2_scale,0.11041009219525245,0.0,16463,0.11026705056428909,2.5669023990631104,ok,16848,16463,0.9771486229819563,-0.15049165011440402,0.3181817390632204,20000,0.941625591959022,10347,0.03819216124040934,10225,0.9063409625148771
8,001186,17313,l2_scale,0.11041009219525245,0.0,16748,0.10688696801662445,2.450347423553467,ok,17165,16748,0.9757063792601224,-0.15049165011440402,0.3181817390632204,20000,0.9363239247311828,11904,0.04505859407253402,8782,0.8950708668392632
9,001191,17126,l2_scale,0.11041009219525245,0.0,16721,0.130308598279953,2.3679909706115723,ok,16962,16721,0.9857917698384624,-0.15049165011440402,0.3181817390632204,20000,0.9640517386191836,11906,0.037156004874556156,8899,0.9288887312750592
10,001196,16976,l2_scale,0.11041009219525245,0.0,16470,0.13183079659938812,2.4955039024353027,ok,16781,16470,0.9814671354508074,-0.15049165011440402,0.3181817390632204,20000,0.9498440979955457,11225,0.042762725164800376,9502,0.9100823942915053
