frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,sigma_status,sigma_input_pixels,sigma_kept_pixels,sigma_keep_ratio,sigma_residual_mean,sigma_residual_std,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,000000,17942,l2_scale,0.3324105797464598,0.0,17922,0.28776147961616516,4.148054599761963,ok,17942,17922,0.9988852970683313,-0.1307295384937831,0.5263738790376958,20000,0.7895749518978485,11434,0.0734214323953442,10449,0.7336802688568019
1,000040,18315,l2_scale,0.3324105797464598,0.0,18306,0.2832266390323639,4.0045671463012695,ok,18315,18306,0.9995085995085995,-0.1307295384937831,0.5263738790376958,20000,0.8017109944096222,11806,0.07764800501114938,9861,0.7418152194874231
2,000080,18166,l2_scale,0.3324105797464598,0.0,18165,0.30387988686561584,4.205042362213135,ok,18166,18165,0.9999449521083342,-0.1307295384937831,0.5263738790376958,20000,0.7961611246282779,11097,0.07160070636518195,10635,0.7411484012747076
3,000120,18115,l2_scale,0.3324105797464598,0.0,18031,0.3538273274898529,5.068540096282959,ok,18115,18031,0.9953629588738614,-0.1307295384937831,0.5263738790376958,20000,0.7332754880694143,11525,0.0712580507446671,10263,0.6828419429588078
4,000160,17989,l2_scale,0.3324105797464598,0.0,17920,0.23961366713047028,4.928193092346191,ok,17989,17920,0.9961643226416144,-0.1307295384937831,0.5263738790376958,20000,0.6917755572636434,11709,0.0694655377883561,10566,0.645352078497832
5,000200,18096,l2_scale,0.3324105797464598,0.0,18050,0.2375023514032364,5.220794200897217,ok,18096,18050,0.9974580017683466,-0.1307295384937831,0.5263738790376958,20000,0.7635442153093324,11444,0.06133549938115801,10313,0.7181191734010756
6,000240,18036,l2_scale,0.3324105797464598,0.0,18004,0.3037865459918976,5.216310977935791,ok,18036,18004,0.9982257706808605,-0.1307295384937831,0.5263738790376958,20000,0.7406795863387503,11507,0.05830056747828188,10271,0.6987322049740492
7,000280,18141,l2_scale,0.3324105797464598,0.0,18141,0.19827602803707123,4.200255870819092,ok,18141,18141,1.0,-0.1307295384937831,0.5263738790376958,20000,0.782210427189453,11681,0.05435815165160019,10367,0.7408258972216298
8,000320,17998,l2_scale,0.3324105797464598,0.0,17979,0.2515014708042145,4.983799934387207,ok,17998,17979,0.9989443271474608,-0.1307295384937831,0.5263738790376958,20000,0.7281362313879857,11686,0.07017072828173365,10138,0.6787938229993594
9,000360,17919,l2_scale,0.3324105797464598,0.0,17918,0.20095571875572205,4.472265720367432,ok,17919,17918,0.999944193314359,-0.1307295384937831,0.5263738790376958,20000,0.8278934221482098,12010,0.0495268646738216,9840,0.7878892735730402
