rank,frame_index,filename,raw_score,smooth_score,reasons
0,0,000000.png,0.00000000,0.00107372,base|endpoint
1,40,000040.png,0.00223612,0.00439405,base
2,80,000080.png,0.02164761,0.02061226,base
3,120,000120.png,0.01002511,0.02296223,base
4,160,000160.png,0.01923217,0.01634606,base
5,200,000200.png,0.00983186,0.01589550,base
6,240,000240.png,0.02918451,0.01527878,base
7,280,000280.png,0.01954209,0.01568534,base
8,320,000320.png,0.02172062,0.01590524,base
9,360,000360.png,0.01496241,0.01762296,base
10,400,000400.png,0.01444711,0.01825696,base
11,440,000440.png,0.02313989,0.01676759,base
12,480,000480.png,0.02705397,0.02838137,base
13,520,000520.png,0.04595872,0.03714370,base
14,560,000560.png,0.02395391,0.02605177,base|dense_motion
15,600,000600.png,0.03825169,0.03854435,base|dense_motion
16,610,000610.png,0.04857203,0.03560915,dense_motion|very_dense_motion
17,615,000615.png,0.02992168,0.03315756,very_dense_motion
18,620,000620.png,0.03286799,0.03121713,dense_motion|very_dense_motion
19,625,000625.png,0.03769029,0.03135784,very_dense_motion
20,630,000630.png,0.02962007,0.03167749,dense_motion|very_dense_motion
21,635,000635.png,0.03810472,0.03305020,very_dense_motion
22,640,000640.png,0.02170422,0.03594106,base|dense_motion|very_dense_motion
23,645,000645.png,0.03647714,0.03641097,very_dense_motion
24,650,000650.png,0.06028992,0.03884576,dense_motion|very_dense_motion
25,655,000655.png,0.02934110,0.03764140,very_dense_motion
26,660,000660.png,0.02415663,0.03528163,dense_motion|very_dense_motion
27,665,000665.png,0.02740293,0.03578708,very_dense_motion
28,670,000670.png,0.02170962,0.03161827,dense_motion|very_dense_motion
29,675,000675.png,0.01497810,0.02999129,very_dense_motion
30,680,000680.png,0.03058948,0.02638449,base|dense_motion|very_dense_motion
31,685,000685.png,0.02821081,0.02499432,very_dense_motion
32,690,000690.png,0.01477621,0.02565194,dense_motion|very_dense_motion
33,695,000695.png,0.02752280,0.02302271,very_dense_motion
34,720,000720.png,0.02070659,0.02073562,base|dense_motion
35,760,000760.png,0.02816202,0.02630654,base|dense_motion
36,800,000800.png,0.02018161,0.02290679,base
37,840,000840.png,0.02373684,0.02621694,base
38,880,000880.png,0.01690703,0.02470110,base|dense_motion
39,920,000920.png,0.01424468,0.02791262,base|dense_motion
40,945,000945.png,0.03162185,0.03084274,very_dense_motion
41,950,000950.png,0.03704453,0.03060227,dense_motion|very_dense_motion
42,955,000955.png,0.02811553,0.03022709,very_dense_motion
43,960,000960.png,0.02105069,0.03169082,base|dense_motion|very_dense_motion
44,965,000965.png,0.04291065,0.03262295,very_dense_motion
45,970,000970.png,0.02441744,0.03436374,dense_motion|very_dense_motion
46,975,000975.png,0.05329646,0.03451186,very_dense_motion
47,980,000980.png,0.02189347,0.03639971,dense_motion|very_dense_motion
48,985,000985.png,0.02961147,0.03916861,very_dense_motion
49,990,000990.png,0.02039718,0.04185149,dense_motion|very_dense_motion
50,995,000995.png,0.03527806,0.04088560,very_dense_motion
51,1000,001000.png,0.06269486,0.03924913,base|dense_motion|very_dense_motion
52,1005,001005.png,0.09059399,0.04066822,very_dense_motion
53,1010,001010.png,0.02316718,0.04083613,dense_motion|very_dense_motion
54,1015,001015.png,0.05451423,0.03733476,very_dense_motion
55,1020,001020.png,0.03855545,0.03481945,dense_motion|very_dense_motion
56,1025,001025.png,0.02238644,0.03361147,very_dense_motion
57,1030,001030.png,0.02209088,0.03566009,dense_motion|very_dense_motion
58,1035,001035.png,0.04077234,0.03645288,very_dense_motion
59,1040,001040.png,0.06715317,0.03552586,base|dense_motion
60,1080,001080.png,0.02235156,0.03184214,base|dense_motion
61,1120,001120.png,0.01822786,0.02363279,base|dense_motion
62,1160,001160.png,0.01590261,0.02641208,base
63,1200,001200.png,0.01782198,0.01970676,base
64,1240,001240.png,0.01839274,0.01593341,base
65,1280,001280.png,0.02557158,0.02309783,base
66,1320,001320.png,0.01830071,0.02588501,base|dense_motion
67,1360,001360.png,0.02405841,0.01901823,base|dense_motion
68,1400,001400.png,0.01660517,0.02405184,base|dense_motion|very_dense_motion
69,1420,001420.png,0.03693605,0.03443912,dense_motion|very_dense_motion
70,1425,001425.png,0.03841123,0.03560920,very_dense_motion
71,1430,001430.png,0.04464731,0.03644792,dense_motion|very_dense_motion
72,1435,001435.png,0.02576066,0.03567386,very_dense_motion
73,1440,001440.png,0.03148928,0.03404545,base|dense_motion|very_dense_motion
74,1450,001450.png,0.02984188,0.03383479,dense_motion|very_dense_motion
75,1480,001480.png,0.02789145,0.02793748,base|dense_motion
76,1520,001520.png,0.03031789,0.02222343,base|dense_motion
77,1560,001560.png,0.01970549,0.02057805,base|dense_motion
78,1600,001600.png,0.02126705,0.01771855,base
79,1640,001640.png,0.00907294,0.01639123,base|dense_motion
80,1680,001680.png,0.01888568,0.02573444,base|dense_motion
81,1720,001720.png,0.02316664,0.02253107,base|dense_motion|very_dense_motion
82,1725,001725.png,0.01752261,0.02299725,very_dense_motion
83,1730,001730.png,0.02374061,0.02528877,dense_motion|very_dense_motion
84,1735,001735.png,0.02174865,0.02776955,very_dense_motion
85,1740,001740.png,0.03271642,0.03049148,dense_motion|very_dense_motion
86,1745,001745.png,0.02806432,0.03373812,very_dense_motion
87,1750,001750.png,0.03966376,0.03713457,dense_motion|very_dense_motion
88,1755,001755.png,0.03341004,0.03895583,very_dense_motion
89,1760,001760.png,0.04325376,0.03947589,base|dense_motion|very_dense_motion
90,1765,001765.png,0.04331342,0.03989146,very_dense_motion
91,1770,001770.png,0.03481113,0.03770052,dense_motion|very_dense_motion
92,1775,001775.png,0.04646565,0.03709901,very_dense_motion
93,1780,001780.png,0.03807186,0.03493017,dense_motion|very_dense_motion
94,1785,001785.png,0.03861140,0.03274663,very_dense_motion
95,1790,001790.png,0.03911334,0.03138253,dense_motion|very_dense_motion
96,1795,001795.png,0.03316781,0.03053843,very_dense_motion
97,1800,001800.png,0.02701681,0.03157654,base|dense_motion|very_dense_motion
98,1805,001805.png,0.02458742,0.03077825,very_dense_motion
99,1840,001840.png,0.01245461,0.02915396,base|dense_motion
100,1880,001880.png,0.01148134,0.02645065,base|dense_motion
101,1920,001920.png,0.03818284,0.03088700,base
102,1960,001960.png,0.02304889,0.01935168,base
103,2000,002000.png,0.01103032,0.01511963,base
104,2040,002040.png,0.01106167,0.01530100,base
105,2080,002080.png,0.00726951,0.01630194,base|dense_motion
106,2120,002120.png,0.02266411,0.01874487,base|dense_motion
107,2140,002140.png,0.01933511,0.02434518,dense_motion|very_dense_motion
108,2145,002145.png,0.01261588,0.02473564,very_dense_motion
109,2150,002150.png,0.02611350,0.02524197,dense_motion|very_dense_motion
110,2155,002155.png,0.02748945,0.02760389,very_dense_motion
111,2160,002160.png,0.02531213,0.02953259,base|dense_motion|very_dense_motion
112,2165,002165.png,0.02337101,0.03138002,very_dense_motion
113,2170,002170.png,0.03426930,0.03411322,dense_motion|very_dense_motion
114,2175,002175.png,0.03037647,0.03564057,very_dense_motion
115,2180,002180.png,0.03435551,0.03691715,dense_motion|very_dense_motion
116,2185,002185.png,0.03849134,0.03646309,very_dense_motion
117,2190,002190.png,0.03237356,0.03606150,dense_motion|very_dense_motion
118,2195,002195.png,0.03609335,0.03575626,very_dense_motion
119,2200,002200.png,0.03894520,0.03374587,base|dense_motion|very_dense_motion
120,2205,002205.png,0.03939565,0.03216914,very_dense_motion
121,2210,002210.png,0.02963959,0.03084361,dense_motion|very_dense_motion
122,2215,002215.png,0.02735592,0.02937270,very_dense_motion
123,2220,002220.png,0.02549561,0.02946517,dense_motion|very_dense_motion
124,2225,002225.png,0.02678922,0.02874128,very_dense_motion
125,2240,002240.png,0.03240610,0.03261321,base|dense_motion
126,2280,002280.png,0.03315010,0.02674093,base|dense_motion
127,2320,002320.png,0.01089333,0.01520082,base
128,2360,002360.png,0.01536753,0.01942149,base
129,2400,002400.png,0.01790362,0.01980422,base
130,2440,002440.png,0.02084207,0.02179049,base
131,2480,002480.png,0.02204458,0.01886079,base
132,2520,002520.png,0.03242074,0.02380382,base
133,2560,002560.png,0.02538864,0.02173764,base
134,2600,002600.png,0.02174266,0.02296700,base
135,2640,002640.png,0.02993776,0.02986553,base
136,2680,002680.png,0.02281579,0.02578270,base
137,2720,002720.png,0.01530881,0.01869321,base
138,2760,002760.png,0.01532473,0.01848400,base
139,2800,002800.png,0.02045346,0.02596190,base|dense_motion
140,2840,002840.png,0.03046994,0.02897685,base|dense_motion
141,2865,002865.png,0.05426862,0.02449991,very_dense_motion
142,2870,002870.png,0.00750678,0.02697280,dense_motion|very_dense_motion
143,2875,002875.png,0.01586386,0.02713790,very_dense_motion
144,2880,002880.png,0.04579209,0.03288827,base|dense_motion|very_dense_motion
145,2885,002885.png,0.04309791,0.03541375,very_dense_motion
146,2890,002890.png,0.04740304,0.03848908,dense_motion|very_dense_motion
147,2895,002895.png,0.06228106,0.03945635,very_dense_motion
148,2900,002900.png,0.02426757,0.04148420,dense_motion|very_dense_motion
149,2905,002905.png,0.03353892,0.04723567,very_dense_motion
150,2910,002910.png,0.02951695,0.04377092,dense_motion|very_dense_motion
151,2915,002915.png,0.05764241,0.04409956,very_dense_motion
152,2920,002920.png,0.06265505,0.04188480,base|dense_motion|very_dense_motion
153,2925,002925.png,0.04441324,0.04418784,very_dense_motion
154,2930,002930.png,0.04071683,0.04166949,dense_motion|very_dense_motion
155,2935,002935.png,0.03263109,0.03709521,very_dense_motion
156,2940,002940.png,0.02178034,0.03395650,dense_motion|very_dense_motion
157,2945,002945.png,0.03478585,0.03432243,very_dense_motion
158,2950,002950.png,0.04315720,0.03580279,dense_motion|very_dense_motion
159,2960,002960.png,0.04052058,0.03795368,base|dense_motion
160,3000,003000.png,0.04113347,0.03938474,base|dense_motion
161,3040,003040.png,0.02631241,0.02727539,base
162,3080,003080.png,0.02676391,0.02650017,base
163,3120,003120.png,0.01827575,0.02113573,base
164,3160,003160.png,0.02067076,0.02434091,base
165,3200,003200.png,0.02199301,0.02764567,base
166,3240,003240.png,0.02264570,0.02168901,base
167,3280,003280.png,0.01728404,0.02356372,base
168,3320,003320.png,0.01594754,0.02364045,base
169,3360,003360.png,0.02594678,0.02276648,base
170,3400,003400.png,0.02787513,0.03965279,base|dense_motion
171,3440,003440.png,0.05242838,0.03369590,base|dense_motion
172,3460,003460.png,0.05239340,0.03533231,dense_motion|very_dense_motion
173,3465,003465.png,0.03623352,0.03751243,very_dense_motion
174,3470,003470.png,0.03540413,0.03636481,dense_motion|very_dense_motion
175,3475,003475.png,0.05466932,0.03929099,very_dense_motion
176,3480,003480.png,0.03139658,0.03993050,base|dense_motion|very_dense_motion
177,3485,003485.png,0.04064931,0.04139621,very_dense_motion
178,3490,003490.png,0.07328828,0.04312705,dense_motion|very_dense_motion
179,3495,003495.png,0.04858223,0.04113106,very_dense_motion
180,3500,003500.png,0.05504624,0.04268566,dense_motion|very_dense_motion
181,3505,003505.png,0.03458141,0.04269343,very_dense_motion
182,3510,003510.png,0.02133473,0.04011961,dense_motion|very_dense_motion
183,3515,003515.png,0.03007483,0.03954611,very_dense_motion
